Issue Type,Summary,Description,Epic Name,Priority,Story Points,Labels,Depends On
Story,Initialize repo structure + CI,"- Create monorepo layout per /docs
- Add linting, formatting, pre-commit
- Add Docker dev env skeleton
- Add schema validation CI step (ajv or python jsonschema)

**Acceptance:** CI passes on PR; schemas validate; basic project README exists.",Foundation & Repo,High,5,"foundation,ci",
Story,Implement Auth + RBAC (placeholder),"- Implement JWT auth skeleton in API
- Roles: CUSTOMER, OPS, QA, ADMIN
- Enforce role checks at route level

**Acceptance:** protected route requires token; role-based denial is logged.",Foundation & Repo,High,5,"auth,rbac",Initialize repo structure + CI
Story,Gerber ZIP upload + storage API,"- POST /uploads/gerbers
- Store file + sha256
- Persist metadata per Datum Design Package schema

**Acceptance:** upload returns upload_id and sha256; stored files retrievable in dev.",Gerber/BOM Ingestion,High,5,"ingest,gerber",Implement Auth + RBAC (placeholder)
Story,BOM upload + normalize,"- POST /uploads/bom
- Parse CSV/XLSX
- Normalize refdes/qty/mpn columns

**Acceptance:** normalized BOM items stored and validated against schema.",Gerber/BOM Ingestion,High,5,"ingest,bom",Implement Auth + RBAC (placeholder)
Story,Board metrics extraction (v1),"- Parse gerbers to compute board outline size
- Count layers by file heuristics

**Acceptance:** metrics stored; surfaced in quote inputs.",Datum Quote Engine,High,5,"cam,metrics",Gerber ZIP upload + storage API
Story,Pricing model v1 + deterministic Datum Quote,"- Implement cost stack placeholders: PCB_FAB, ASSEMBLY_LABOR, COMPONENTS, NRE, MARGIN
- Deterministic quote_version increments

**Acceptance:** same inputs -> identical quote; quote validates against schema.",Datum Quote Engine,High,8,"pricing,quote","Board metrics extraction (v1),BOM upload + normalize"
Story,Supply chain risk flags (v1),"- Add lead time lookup placeholders per part
- Flag long lead > 26 weeks
- Add SUPPLY_CHAIN_RISK line item

**Acceptance:** long-lead BOM triggers risk_factors and cost line.",Datum Quote Engine,Medium,5,"supply,risk",Pricing model v1 + deterministic Datum Quote
Story,Customer UI: Upload flow,"- Next.js page: create project -> upload gerbers + BOM
- Show upload status and sha256

**Acceptance:** user can upload both files end-to-end.",Customer Web UI,High,5,"ui,web","Gerber ZIP upload + storage API,BOM upload + normalize"
Story,Customer UI: Quote view w/ breakdown,"- Render quote total + line items
- Render risk flags
- Show assumptions

**Acceptance:** quote renders from API response.",Customer Web UI,High,5,"ui,quote",Pricing model v1 + deterministic Datum Quote
Story,Ops Console: Queue + Quote Review,"- Ops dashboard lists quotes needing review
- Approve quote (locks quote)

**Acceptance:** ops can lock quote; audit event recorded.",Ops Console,High,8,"ops,lock",Customer UI: Quote view w/ breakdown
Story,Basic DRC checks (v1),"- Drill-to-copper clearance heuristic
- Copper-to-edge heuristic
- Flag as risk_factors

**Acceptance:** DRC produces deterministic findings and shows in quote.",Basic DRC,Medium,8,drc,Board metrics extraction (v1)
Story,Rules engine skeleton (deterministic),"- Load DatumRule JSON
- Evaluate triggers against extracted features
- Produce rule trace list

**Acceptance:** ruleset versioning supported; trace records rule_id + justification.",DFM & Rules,High,8,"rules,tier2",Pricing model v1 + deterministic Datum Quote
Story,Datum Plan generator v1,"- Generate steps from rules + quote
- Support locked_sequence steps
- Persist DatumPlan

**Acceptance:** plan validates against schema; steps include source_rules.",Datum Plan Generator,High,8,"plan,tier2",Rules engine skeleton (deterministic)
Story,NASA polymerics sequencing rules,"- If staking/coating/polymer present -> add CLEAN→BAKE→POLYMER→CURE→INSPECT
- Lock sequence true

**Acceptance:** cannot reorder locked steps; override requires audit reason.",Datum Plan Generator,High,5,"nasa,polymerics",Datum Plan generator v1
Story,Datum Tests declarations v1,"- Generate declared tests: XRAY for QFN/BGA, AOI for high-rel
- Support environmental test declarations: TVAC, VIBE, SHOCK, BURN_IN

**Acceptance:** tests validate against schema and link to plan revision.",Datum Tests,High,8,"tests,tier2",Datum Plan generator v1
Story,Datum Revision + Lock + Audit framework,"- Implement DatumRevision creation
- Implement DatumLock endpoints
- Emit DatumAuditEvent on create/update/lock/override

**Acceptance:** audit entries generated for key actions; immutable revisions enforced after lock.",Audit/Locks/Revisions,High,8,"audit,lock,revision",Pricing model v1 + deterministic Datum Quote
Story,AI agent test harness (launch + validate),"- Add contract tests to validate schemas on generated objects
- Create agent-driven end-to-end test: upload->quote->lock
- Run in CI

**Acceptance:** automated test run produces artifacts; failures block merge.",AI Agents CI/Test Harness,Medium,8,"agents,ci,tests","Customer UI: Upload flow,Pricing model v1 + deterministic Datum Quote,Datum Revision + Lock + Audit framework"
